"","18505","18508","19449","19461","19458","18513","18500","19452","18495","19442","19445","18516","19448","19443","19464","19460","18498","19463","18509","18506","19446","18502","19457","18497","19459","19454","18517","19447","18494","18515","19455","19453","18507","18499","18512","19462","18501","18511","19465","18496","18503","19451","19456","19444","18504","18514","18510"
"1",30307,33332,31135,33309,31674,32952,31251,31570,31683,37217,31748,33018,30797,32642,0,32080,30042,32328,32897,32684,32917,31397,35613,29786,32837,37057,32952,31889,30663,31961,32596,31916,33349,30806,32122,31285,30598,32040,32353,30436,29665,32319,33925,32996,31234,30827,32679
"5",22412,26115,23315,25366,23703,25209,23106,24129,23367,30888,24061,25247,23363,24815,0,24466,21455,24093,25195,24692,25047,22891,28975,21342,24531,30494,24545,24232,22104,24265,24711,25027,25153,22427,24247,23215,22249,23900,24165,22758,21159,24622,26428,25301,23209,22441,24308
"10",19071,22627,19987,21845,20293,21816,19760,20735,19920,27714,20730,21882,19971,21453,0,21150,18256,20764,21804,21202,21636,19447,25622,18120,21106,27259,21016,20834,18833,20793,21279,21668,21743,19085,20841,19982,18922,20496,20792,19517,17966,21255,22979,21930,19740,19122,20745
"50",13292,15852,14152,15240,14351,15163,13938,14508,13809,20112,14557,15179,14043,14825,0,14795,13106,14587,15246,14765,15123,13728,18142,12952,14796,19535,14432,14592,13426,14555,14804,15072,15058,13486,14345,14100,13399,14076,14387,13981,12714,14764,15977,15112,13759,13441,14246
"100",11474,13753,12378,13196,12524,13142,12112,12577,11912,17215,12707,13150,12177,12814,0,12840,11386,12654,13250,12806,13133,11904,15622,11221,12796,16738,12467,12649,11692,12668,12806,13067,13028,11719,12378,12321,11688,12060,12488,12244,10926,12715,13769,13003,11856,11734,12284
